 _ _ _ _| _ _ _ _| _ _ _*_| _ _ _12_|,D
 _ _ _ _| _ _ _ _| _*_15_14_| _10_o_11_|,R
 _ _ _ _| _ _ _ _| _*_15_14_| _11_10_ _|,D
 _ _ _ _| _ _ _ _| _*_15_14_| _11_o_10_|,D
 _ _ _ _| _ _ _ _| _*_15_14_| _o_10_11_|,D
 _ _ _ _| _ _ _ _| _*_15_14_| _o_11_10_|,R
 _ _ _ _| _ _ _ _| _*_o_10_| _11_14_15_|,R
 _ _ _ _| _ _ _ _| _*_o_10_| _11_15_14_|,R
 _ _ _ _| _ _ _ _| _*_o_10_| _14_11_15_|,R
 _ _ _ _| _ _ _ _| _*_o_10_| _14_15_11_|,D
 _ _ _ _| _ _ _ _| _*_o_10_| _15_11_14_|,R
 _ _ _ _| _ _ _ _| _*_o_10_| _15_14_11_|,R
 _ _ _ _| _ _ _ _| _*_o_11_| _10_14_15_|,D
 _ _ _ _| _ _ _ _| _*_o_11_| _10_15_14_|,R
 _ _ _ _| _ _ _ _| _*_o_11_| _14_10_15_|,R
 _ _ _ _| _ _ _ _| _*_o_11_| _14_15_10_|,R
 _ _ _ _| _ _ _ _| _*_o_11_| _15_10_14_|,D
 _ _ _ _| _ _ _ _| _*_o_11_| _15_14_10_|,R
 _ _ _ _| _ _ _ _| _*_o_14_| _10_11_15_|,R
 _ _ _ _| _ _ _ _| _*_o_14_| _10_15_11_|,R
 _ _ _ _| _ _ _ _| _*_o_14_| _11_10_15_|,D
 _ _ _ _| _ _ _ _| _*_o_14_| _11_15_10_|,R
 _ _ _ _| _ _ _ _| _*_o_14_| _15_10_11_|,D
 _ _ _ _| _ _ _ _| _*_o_14_| _15_11_10_|,R
 _ _ _ _| _ _ _ _| _*_o_15_| _10_11_14_|,R
 _ _ _ _| _ _ _ _| _*_o_15_| _10_14_11_|,D
 _ _ _ _| _ _ _ _| _*_o_15_| _11_10_14_|,D
 _ _ _ _| _ _ _ _| _*_o_15_| _11_14_10_|,D
 _ _ _ _| _ _ _ _| _*_o_15_| _14_10_11_|,R
 _ _ _ _| _ _ _ _| _*_o_15_| _14_11_10_|,D
 _ _ _ _| _ _ _ _| _10_*_ _| _11_14_15_|,L
 _ _ _ _| _ _ _ _| _10_*_ _| _11_15_14_|,D
 _ _ _ _| _ _ _ _| _10_*_ _| _14_11_15_|,D
 _ _ _ _| _ _ _ _| _10_*_ _| _14_15_11_|,D
 _ _ _ _| _ _ _ _| _10_*_ _| _15_11_14_|,D
 _ _ _ _| _ _ _ _| _10_*_ _| _15_14_11_|,R
 _ _ _ _| _ _ _ _| _10_*_11_| _14_15_ _|,R
 _ _ _ _| _ _ _ _| _10_*_11_| _14_o_15_|,R
 _ _ _ _| _ _ _ _| _10_*_11_| _15_14_ _|,R
 _ _ _ _| _ _ _ _| _10_*_11_| _15_o_14_|,R
 _ _ _ _| _ _ _ _| _10_*_11_| _o_14_15_|,R
 _ _ _ _| _ _ _ _| _10_*_11_| _o_15_14_|,R
 _ _ _ _| _ _ _ _| _10_*_14_| _11_15_ _|,R
 _ _ _ _| _ _ _ _| _10_*_14_| _11_o_15_|,D
 _ _ _ _| _ _ _ _| _10_*_14_| _15_11_ _|,D
 _ _ _ _| _ _ _ _| _10_*_14_| _15_o_11_|,R
 _ _ _ _| _ _ _ _| _10_*_14_| _o_11_15_|,D
 _ _ _ _| _ _ _ _| _10_*_14_| _o_15_11_|,D
 _ _ _ _| _ _ _ _| _10_*_15_| _11_14_ _|,R
 _ _ _ _| _ _ _ _| _10_*_15_| _11_o_14_|,D
 _ _ _ _| _ _ _ _| _10_*_15_| _14_11_ _|,D
 _ _ _ _| _ _ _ _| _10_*_15_| _14_o_11_|,R
 _ _ _ _| _ _ _ _| _10_*_15_| _o_11_14_|,D
 _ _ _ _| _ _ _ _| _10_*_15_| _o_14_11_|,R
 _ _ _ _| _ _ _ _| _10_11_ _| _*_14_15_|,R
 _ _ _ _| _ _ _ _| _10_11_ _| _*_15_14_|,R
 _ _ _ _| _ _ _ _| _10_11_ _| _14_*_15_|,R
 _ _ _ _| _ _ _ _| _10_11_ _| _15_*_14_|,L
 _ _ _ _| _ _ _ _| _10_11_ _| _15_14_*_|,L
 _ _ _ _| _ _ _ _| _10_11_*_| _14_o_15_|,D
 _ _ _ _| _ _ _ _| _10_11_*_| _15_14_ _|,D
 _ _ _ _| _ _ _ _| _10_11_*_| _15_o_14_|,D
 _ _ _ _| _ _ _ _| _10_11_*_| _o_14_15_|,D
 _ _ _ _| _ _ _ _| _10_11_*_| _o_15_14_|,L
 _ _ _ _| _ _ _ _| _10_11_14_| _*_15_ _|,U
 _ _ _ _| _ _ _ _| _10_11_14_| _*_o_15_|,R
 _ _ _ _| _ _ _ _| _10_11_14_| _15_*_ _|,L
 _ _ _ _| _ _ _ _| _10_11_14_| _15_o_*_|,L
 _ _ _ _| _ _ _ _| _10_11_14_| _o_*_15_|,R
 _ _ _ _| _ _ _ _| _10_11_14_| _o_15_*_|,U
 _ _ _ _| _ _ _ _| _10_11_15_| _*_14_ _|,R
 _ _ _ _| _ _ _ _| _10_11_15_| _*_o_14_|,U
 _ _ _ _| _ _ _ _| _10_11_15_| _14_*_ _|,U
 _ _ _ _| _ _ _ _| _10_11_15_| _14_o_*_|,L
 _ _ _ _| _ _ _ _| _10_11_15_| _o_*_14_|,L
 _ _ _ _| _ _ _ _| _10_11_15_| _o_14_*_|,L
 _ _ _ _| _ _ _ _| _10_14_ _| _*_11_15_|,R
 _ _ _ _| _ _ _ _| _10_14_ _| _*_15_11_|,R
 _ _ _ _| _ _ _ _| _10_14_ _| _11_*_15_|,U
 _ _ _ _| _ _ _ _| _10_14_ _| _11_15_*_|,L
 _ _ _ _| _ _ _ _| _10_14_ _| _15_*_11_|,R
 _ _ _ _| _ _ _ _| _10_14_ _| _15_11_*_|,U
 _ _ _ _| _ _ _ _| _10_14_*_| _11_15_ _|,D
 _ _ _ _| _ _ _ _| _10_14_*_| _11_o_15_|,L
 _ _ _ _| _ _ _ _| _10_14_*_| _15_11_ _|,L
 _ _ _ _| _ _ _ _| _10_14_*_| _15_o_11_|,D
 _ _ _ _| _ _ _ _| _10_14_*_| _o_11_15_|,L
 _ _ _ _| _ _ _ _| _10_14_*_| _o_15_11_|,L
 _ _ _ _| _ _ _ _| _10_14_11_| _*_15_ _|,R
 _ _ _ _| _ _ _ _| _10_14_11_| _*_o_15_|,R
 _ _ _ _| _ _ _ _| _10_14_11_| _15_*_ _|,U
 _ _ _ _| _ _ _ _| _10_14_11_| _15_o_*_|,L
 _ _ _ _| _ _ _ _| _10_14_11_| _o_*_15_|,U
 _ _ _ _| _ _ _ _| _10_14_11_| _o_15_*_|,U
 _ _ _ _| _ _ _ _| _10_14_15_| _*_11_ _|,R
 _ _ _ _| _ _ _ _| _10_14_15_| _*_o_11_|,R
 _ _ _ _| _ _ _ _| _10_14_15_| _11_*_ _|,U
 _ _ _ _| _ _ _ _| _10_14_15_| _11_o_*_|,L
 _ _ _ _| _ _ _ _| _10_14_15_| _o_*_11_|,U
 _ _ _ _| _ _ _ _| _10_14_15_| _o_11_*_|,U
 _ _ _ _| _ _ _ _| _10_15_ _| _*_11_14_|,U
 _ _ _ _| _ _ _ _| _10_15_ _| _*_14_11_|,R
 _ _ _ _| _ _ _ _| _10_15_ _| _11_*_14_|,L
 _ _ _ _| _ _ _ _| _10_15_ _| _11_14_*_|,L
 _ _ _ _| _ _ _ _| _10_15_ _| _14_*_11_|,U
 _ _ _ _| _ _ _ _| _10_15_ _| _14_11_*_|,L
 _ _ _ _| _ _ _ _| _10_15_*_| _11_14_ _|,D
 _ _ _ _| _ _ _ _| _10_15_*_| _11_o_14_|,L
 _ _ _ _| _ _ _ _| _10_15_*_| _14_11_ _|,L
 _ _ _ _| _ _ _ _| _10_15_*_| _14_o_11_|,D
 _ _ _ _| _ _ _ _| _10_15_*_| _o_11_14_|,L
 _ _ _ _| _ _ _ _| _10_15_*_| _o_14_11_|,D
 _ _ _ _| _ _ _ _| _10_15_11_| _*_14_ _|,R
 _ _ _ _| _ _ _ _| _10_15_11_| _*_o_14_|,R
 _ _ _ _| _ _ _ _| _10_15_11_| _14_*_ _|,U
 _ _ _ _| _ _ _ _| _10_15_11_| _14_o_*_|,L
 _ _ _ _| _ _ _ _| _10_15_11_| _o_*_14_|,U
 _ _ _ _| _ _ _ _| _10_15_11_| _o_14_*_|,L
 _ _ _ _| _ _ _ _| _10_15_14_| _*_11_ _|,U
 _ _ _ _| _ _ _ _| _10_15_14_| _*_o_11_|,U
 _ _ _ _| _ _ _ _| _10_15_14_| _11_*_ _|,U
 _ _ _ _| _ _ _ _| _10_15_14_| _11_o_*_|,L
 _ _ _ _| _ _ _ _| _10_15_14_| _o_*_11_|,L
 _ _ _ _| _ _ _ _| _10_15_14_| _o_11_*_|,L
 _ _ _ _| _ _ _ _| _10_o_*_| _11_14_15_|,L
 _ _ _ _| _ _ _ _| _10_o_*_| _11_15_14_|,L
 _ _ _ _| _ _ _ _| _10_o_*_| _14_11_15_|,L
 _ _ _ _| _ _ _ _| _10_o_*_| _14_15_11_|,L
 _ _ _ _| _ _ _ _| _10_o_*_| _15_11_14_|,L
 _ _ _ _| _ _ _ _| _10_o_*_| _15_14_11_|,D
 _ _ _ _| _ _ _ _| _10_o_11_| _*_14_15_|,R
 _ _ _ _| _ _ _ _| _10_o_11_| _*_15_14_|,U
 _ _ _ _| _ _ _ _| _10_o_11_| _14_*_15_|,R
 _ _ _ _| _ _ _ _| _10_o_11_| _14_15_*_|,U
 _ _ _ _| _ _ _ _| _10_o_11_| _15_*_14_|,U
 _ _ _ _| _ _ _ _| _10_o_11_| _15_14_*_|,L
 _ _ _ _| _ _ _ _| _10_o_14_| _*_11_15_|,U
 _ _ _ _| _ _ _ _| _10_o_14_| _*_15_11_|,U
 _ _ _ _| _ _ _ _| _10_o_14_| _11_*_15_|,L
 _ _ _ _| _ _ _ _| _10_o_14_| _11_15_*_|,U
 _ _ _ _| _ _ _ _| _10_o_14_| _15_*_11_|,R
 _ _ _ _| _ _ _ _| _10_o_14_| _15_11_*_|,U
 _ _ _ _| _ _ _ _| _10_o_15_| _*_11_14_|,U
 _ _ _ _| _ _ _ _| _10_o_15_| _*_14_11_|,R
 _ _ _ _| _ _ _ _| _10_o_15_| _11_*_14_|,R
 _ _ _ _| _ _ _ _| _10_o_15_| _11_14_*_|,U
 _ _ _ _| _ _ _ _| _10_o_15_| _14_*_11_|,R
 _ _ _ _| _ _ _ _| _10_o_15_| _14_11_*_|,U
 _ _ _ _| _ _ _ _| _11_*_ _| _10_14_15_|,L
 _ _ _ _| _ _ _ _| _11_*_ _| _10_15_14_|,L
 _ _ _ _| _ _ _ _| _11_*_ _| _14_10_15_|,D
 _ _ _ _| _ _ _ _| _11_*_ _| _14_15_10_|,L
 _ _ _ _| _ _ _ _| _11_*_ _| _15_10_14_|,L
 _ _ _ _| _ _ _ _| _11_*_ _| _15_14_10_|,L
 _ _ _ _| _ _ _ _| _11_*_10_| _14_15_ _|,L
 _ _ _ _| _ _ _ _| _11_*_10_| _14_o_15_|,D
 _ _ _ _| _ _ _ _| _11_*_10_| _15_14_ _|,D
 _ _ _ _| _ _ _ _| _11_*_10_| _15_o_14_|,R
 _ _ _ _| _ _ _ _| _11_*_10_| _o_14_15_|,L
 _ _ _ _| _ _ _ _| _11_*_10_| _o_15_14_|,D
 _ _ _ _| _ _ _ _| _11_*_14_| _10_15_ _|,R
 _ _ _ _| _ _ _ _| _11_*_14_| _10_o_15_|,R
 _ _ _ _| _ _ _ _| _11_*_14_| _15_10_ _|,L
 _ _ _ _| _ _ _ _| _11_*_14_| _15_o_10_|,R
 _ _ _ _| _ _ _ _| _11_*_14_| _o_10_15_|,L
 _ _ _ _| _ _ _ _| _11_*_14_| _o_15_10_|,R
 _ _ _ _| _ _ _ _| _11_*_15_| _10_14_ _|,L
 _ _ _ _| _ _ _ _| _11_*_15_| _10_o_14_|,D
 _ _ _ _| _ _ _ _| _11_*_15_| _14_10_ _|,R
 _ _ _ _| _ _ _ _| _11_*_15_| _14_o_10_|,R
 _ _ _ _| _ _ _ _| _11_*_15_| _o_10_14_|,L
 _ _ _ _| _ _ _ _| _11_*_15_| _o_14_10_|,D
 _ _ _ _| _ _ _ _| _11_10_ _| _*_14_15_|,R
 _ _ _ _| _ _ _ _| _11_10_ _| _*_15_14_|,R
 _ _ _ _| _ _ _ _| _11_10_ _| _14_*_15_|,R
 _ _ _ _| _ _ _ _| _11_10_ _| _14_15_*_|,U
 _ _ _ _| _ _ _ _| _11_10_ _| _15_*_14_|,U
 _ _ _ _| _ _ _ _| _11_10_ _| _15_14_*_|,L
 _ _ _ _| _ _ _ _| _11_10_*_| _14_15_ _|,L
 _ _ _ _| _ _ _ _| _11_10_*_| _14_o_15_|,L
 _ _ _ _| _ _ _ _| _11_10_*_| _15_14_ _|,L
 _ _ _ _| _ _ _ _| _11_10_*_| _15_o_14_|,D
 _ _ _ _| _ _ _ _| _11_10_*_| _o_14_15_|,L
 _ _ _ _| _ _ _ _| _11_10_*_| _o_15_14_|,D
 _ _ _ _| _ _ _ _| _11_10_14_| _*_15_ _|,U
 _ _ _ _| _ _ _ _| _11_10_14_| _*_o_15_|,R
 _ _ _ _| _ _ _ _| _11_10_14_| _15_*_ _|,L
 _ _ _ _| _ _ _ _| _11_10_14_| _15_o_*_|,L
 _ _ _ _| _ _ _ _| _11_10_14_| _o_*_15_|,U
 _ _ _ _| _ _ _ _| _11_10_14_| _o_15_*_|,L
 _ _ _ _| _ _ _ _| _11_10_15_| _*_14_ _|,R
 _ _ _ _| _ _ _ _| _11_10_15_| _*_o_14_|,R
 _ _ _ _| _ _ _ _| _11_10_15_| _14_*_ _|,U
 _ _ _ _| _ _ _ _| _11_10_15_| _14_o_*_|,L
 _ _ _ _| _ _ _ _| _11_10_15_| _o_*_14_|,R
 _ _ _ _| _ _ _ _| _11_10_15_| _o_14_*_|,U
 _ _ _ _| _ _ _ _| _11_14_ _| _*_10_15_|,R
 _ _ _ _| _ _ _ _| _11_14_ _| _*_15_10_|,U
 _ _ _ _| _ _ _ _| _11_14_ _| _10_*_15_|,U
 _ _ _ _| _ _ _ _| _11_14_ _| _10_15_*_|,L
 _ _ _ _| _ _ _ _| _11_14_ _| _15_*_10_|,L
 _ _ _ _| _ _ _ _| _11_14_ _| _15_10_*_|,L
 _ _ _ _| _ _ _ _| _11_14_*_| _10_15_ _|,D
 _ _ _ _| _ _ _ _| _11_14_*_| _10_o_15_|,D
 _ _ _ _| _ _ _ _| _11_14_*_| _15_10_ _|,L
 _ _ _ _| _ _ _ _| _11_14_*_| _15_o_10_|,D
 _ _ _ _| _ _ _ _| _11_14_*_| _o_10_15_|,D
 _ _ _ _| _ _ _ _| _11_14_*_| _o_15_10_|,D
 _ _ _ _| _ _ _ _| _11_14_10_| _*_15_ _|,U
 _ _ _ _| _ _ _ _| _11_14_10_| _*_o_15_|,U
 _ _ _ _| _ _ _ _| _11_14_10_| _15_*_ _|,L
 _ _ _ _| _ _ _ _| _11_14_10_| _15_o_*_|,L
 _ _ _ _| _ _ _ _| _11_14_10_| _o_*_15_|,U
 _ _ _ _| _ _ _ _| _11_14_10_| _o_15_*_|,L
 _ _ _ _| _ _ _ _| _11_14_15_| _*_10_ _|,R
 _ _ _ _| _ _ _ _| _11_14_15_| _*_o_10_|,U
 _ _ _ _| _ _ _ _| _11_14_15_| _10_*_ _|,U
 _ _ _ _| _ _ _ _| _11_14_15_| _10_o_*_|,L
 _ _ _ _| _ _ _ _| _11_14_15_| _o_*_10_|,L
 _ _ _ _| _ _ _ _| _11_14_15_| _o_10_*_|,L
 _ _ _ _| _ _ _ _| _11_15_ _| _*_10_14_|,R
 _ _ _ _| _ _ _ _| _11_15_ _| _*_14_10_|,R
 _ _ _ _| _ _ _ _| _11_15_ _| _10_*_14_|,R
 _ _ _ _| _ _ _ _| _11_15_ _| _10_14_*_|,U
 _ _ _ _| _ _ _ _| _11_15_ _| _14_*_10_|,U
 _ _ _ _| _ _ _ _| _11_15_ _| _14_10_*_|,L
 _ _ _ _| _ _ _ _| _11_15_*_| _10_14_ _|,L
 _ _ _ _| _ _ _ _| _11_15_*_| _10_o_14_|,L
 _ _ _ _| _ _ _ _| _11_15_*_| _14_10_ _|,D
 _ _ _ _| _ _ _ _| _11_15_*_| _14_o_10_|,D
 _ _ _ _| _ _ _ _| _11_15_*_| _o_10_14_|,L
 _ _ _ _| _ _ _ _| _11_15_*_| _o_14_10_|,L
 _ _ _ _| _ _ _ _| _11_15_10_| _*_14_ _|,R
 _ _ _ _| _ _ _ _| _11_15_10_| _*_o_14_|,R
 _ _ _ _| _ _ _ _| _11_15_10_| _14_*_ _|,U
 _ _ _ _| _ _ _ _| _11_15_10_| _14_o_*_|,L
 _ _ _ _| _ _ _ _| _11_15_10_| _o_*_14_|,R
 _ _ _ _| _ _ _ _| _11_15_10_| _o_14_*_|,U
 _ _ _ _| _ _ _ _| _11_15_14_| _*_10_ _|,R
 _ _ _ _| _ _ _ _| _11_15_14_| _*_o_10_|,R
 _ _ _ _| _ _ _ _| _11_15_14_| _10_*_ _|,U
 _ _ _ _| _ _ _ _| _11_15_14_| _10_o_*_|,L
 _ _ _ _| _ _ _ _| _11_15_14_| _o_*_10_|,U
 _ _ _ _| _ _ _ _| _11_15_14_| _o_10_*_|,U
 _ _ _ _| _ _ _ _| _11_o_*_| _10_14_15_|,L
 _ _ _ _| _ _ _ _| _11_o_*_| _10_15_14_|,L
 _ _ _ _| _ _ _ _| _11_o_*_| _14_10_15_|,L
 _ _ _ _| _ _ _ _| _11_o_*_| _14_15_10_|,L
 _ _ _ _| _ _ _ _| _11_o_*_| _15_10_14_|,L
 _ _ _ _| _ _ _ _| _11_o_*_| _15_14_10_|,L
 _ _ _ _| _ _ _ _| _11_o_10_| _*_14_15_|,R
 _ _ _ _| _ _ _ _| _11_o_10_| _*_15_14_|,U
 _ _ _ _| _ _ _ _| _11_o_10_| _14_*_15_|,R
 _ _ _ _| _ _ _ _| _11_o_10_| _14_15_*_|,U
 _ _ _ _| _ _ _ _| _11_o_10_| _15_*_14_|,R
 _ _ _ _| _ _ _ _| _11_o_10_| _15_14_*_|,U
 _ _ _ _| _ _ _ _| _11_o_14_| _*_10_15_|,R
 _ _ _ _| _ _ _ _| _11_o_14_| _*_15_10_|,R
 _ _ _ _| _ _ _ _| _11_o_14_| _10_*_15_|,U
 _ _ _ _| _ _ _ _| _11_o_14_| _10_15_*_|,U
 _ _ _ _| _ _ _ _| _11_o_14_| _15_*_10_|,R
 _ _ _ _| _ _ _ _| _11_o_14_| _15_10_*_|,U
 _ _ _ _| _ _ _ _| _11_o_15_| _*_10_14_|,R
 _ _ _ _| _ _ _ _| _11_o_15_| _*_14_10_|,R
 _ _ _ _| _ _ _ _| _11_o_15_| _10_*_14_|,R
 _ _ _ _| _ _ _ _| _11_o_15_| _10_14_*_|,U
 _ _ _ _| _ _ _ _| _11_o_15_| _14_*_10_|,R
 _ _ _ _| _ _ _ _| _11_o_15_| _14_10_*_|,U
 _ _ _ _| _ _ _ _| _14_*_ _| _10_11_15_|,D
 _ _ _ _| _ _ _ _| _14_*_ _| _10_15_11_|,L
 _ _ _ _| _ _ _ _| _14_*_ _| _11_10_15_|,D
 _ _ _ _| _ _ _ _| _14_*_ _| _11_15_10_|,D
 _ _ _ _| _ _ _ _| _14_*_ _| _15_10_11_|,D
 _ _ _ _| _ _ _ _| _14_*_ _| _15_11_10_|,D
 _ _ _ _| _ _ _ _| _14_*_10_| _11_15_ _|,R
 _ _ _ _| _ _ _ _| _14_*_10_| _11_o_15_|,R
 _ _ _ _| _ _ _ _| _14_*_10_| _15_11_ _|,R
 _ _ _ _| _ _ _ _| _14_*_10_| _15_o_11_|,R
 _ _ _ _| _ _ _ _| _14_*_10_| _o_11_15_|,R
 _ _ _ _| _ _ _ _| _14_*_10_| _o_15_11_|,R
 _ _ _ _| _ _ _ _| _14_*_11_| _10_15_ _|,L
 _ _ _ _| _ _ _ _| _14_*_11_| _10_o_15_|,L
 _ _ _ _| _ _ _ _| _14_*_11_| _15_10_ _|,D
 _ _ _ _| _ _ _ _| _14_*_11_| _15_o_10_|,D
 _ _ _ _| _ _ _ _| _14_*_11_| _o_10_15_|,D
 _ _ _ _| _ _ _ _| _14_*_11_| _o_15_10_|,D
 _ _ _ _| _ _ _ _| _14_*_15_| _10_11_ _|,D
 _ _ _ _| _ _ _ _| _14_*_15_| _10_o_11_|,R
 _ _ _ _| _ _ _ _| _14_*_15_| _11_10_ _|,D
 _ _ _ _| _ _ _ _| _14_*_15_| _11_o_10_|,D
 _ _ _ _| _ _ _ _| _14_*_15_| _o_10_11_|,D
 _ _ _ _| _ _ _ _| _14_*_15_| _o_11_10_|,D
 _ _ _ _| _ _ _ _| _14_10_ _| _*_11_15_|,U
 _ _ _ _| _ _ _ _| _14_10_ _| _*_15_11_|,U
 _ _ _ _| _ _ _ _| _14_10_ _| _11_*_15_|,L
